=== UrbanRide Booking Log ===
[2026-05-12 21:51:53] ID: B017 | Passenger: P002 | Route: Malabe -> Katunayaka | Fare: LKR 4500.00 | Status: Completed
[2026-05-12 21:57:59] ID: B018 | Passenger: P002 | Route: Malabe -> Kelaniya | Fare: LKR 1740.00 | Status: Completed
[2026-05-12 22:09:01] ID: B019 | Passenger: P002 | Route: Colombo Fort -> Kelaniya | Fare: LKR 1260.00 | Status: Completed
[2026-05-12 22:14:01] ID: B049 | Passenger: P002 | Route: Malabe -> Seeduwa | Fare: LKR 3900.00 | Status: Completed
[2026-05-12 22:25:03] ID: B081 | Passenger: P002 | Route: Malabe -> Seeduwa | Fare: LKR 3900.00 | Status: Completed
[2026-05-12 22:36:58] ID: B013 | Passenger: P002 | Route: Port City -> Seeduwa | Fare: LKR 3780.00 | Status: Completed
[2026-05-12 22:53:20] ID: B045 | Passenger: P002 | Route: Malabe -> Kelaniya | Fare: LKR 1740.00 | Status: Completed
[2026-05-12 23:02:39] ID: B077 | Passenger: P002 | Route: Malabe -> Katunayaka | Fare: LKR 4500.00 | Status: Completed
[2026-05-12 23:06:32] ID: B009 | Passenger: P002 | Route: Colombo Fort -> Kelaniya | Fare: LKR 1260.00 | Status: Paid
[2026-05-12 23:13:14] ID: B010 | Passenger: P002 | Route: Colombo Fort -> Kelaniya | Fare: LKR 1260.00 | Status: Paid
[2026-05-12 23:25:03] ID: B011 | Passenger: P002 | Route: Colombo Fort -> Katunayaka | Fare: LKR 4140.00 | Status: Paid
[2026-05-12 23:30:53] ID: B041 | Passenger: P096 | Route: Malabe -> Kadawatha | Fare: LKR 1740.00 | Status: Paid
[2026-05-12 23:42:16] ID: B073 | Passenger: P002 | Route: Malabe -> Negombo | Fare: LKR 5100.00 | Status: Paid
[2026-05-13 00:21:43] ID: B005 | Passenger: P002 | Route: Malabe -> Seeduwa | Fare: LKR 2250.00 | Status: Completed
[2026-05-13 00:22:12] ID: B006 | Passenger: P002 | Route: Colombo Fort -> Malabe | Fare: LKR 700.00 | Status: Completed
[2026-05-13 00:38:32] ID: B007 | Passenger: P002 | Route: Malabe -> Seeduwa | Fare: LKR 1300.00 | Status: Paid
[2026-05-13 11:14:06] ID: B037 | Passenger: P001 | Route: Malabe -> Katunayaka | Fare: LKR 1500.00 | Status: Pending
[2026-05-13 11:53:00] ID: B038 | Passenger: P000 | Route: Malabe -> Athurugiriya | Fare: LKR 300.00 | Status: Pending
[2026-05-13 13:20:36] ID: B069 | Passenger: P000 | Route: Malabe -> Athurugiriya | Fare: LKR 300.00 | Status: Pending
[2026-05-13 13:29:15] ID: B070 | Passenger: P000 | Route: Port City -> Colombo Fort | Fare: LKR 180.00 | Status: Pending
[2026-05-13 13:50:58] ID: B071 | Passenger: P000 | Route: Malabe -> Kadawatha | Fare: LKR 580.00 | Status: Pending
[2026-05-13 14:05:34] ID: B001 | Passenger: P000 | Route: Malabe -> Negombo | Fare: LKR 1700.00 | Status: Pending
[2026-05-13 14:25:56] ID: B002 | Passenger: P000 | Route: Malabe -> Athurugiriya | Fare: LKR 300.00 | Status: Pending
[2026-05-13 20:10:45] ID: B033 | Passenger: P000 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-13 20:18:59] ID: B034 | Passenger: P000 | Route: Malabe -> Kadawatha | Fare: LKR 1740.00 | Status: Pending
[2026-05-13 22:52:18] ID: B035 | Passenger: P000 | Route: Malabe -> Port City | Fare: LKR 1270.00 | Status: Pending
[2026-05-13 22:59:29] ID: B036 | Passenger: P000 | Route: Malabe -> Port City | Fare: LKR 740.00 | Status: Pending
[2026-05-14 23:01:58] ID: B065 | Passenger: P096 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 00:21:34] ID: B067 | Passenger: P000 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 00:25:24] ID: B068 | Passenger: P098 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 00:32:46] ID: B069 | Passenger: P098 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 21:26:17] ID: B870 | Passenger: P100 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 21:38:40] ID: B902 | Passenger: P100 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 21:42:15] ID: B903 | Passenger: P100 | Route: Colombo Fort -> Port City | Fare: LKR 540.00 | Status: Pending
[2026-05-15 21:57:11] ID: B904 | Passenger: P100 | Route: Malabe -> Colombo Fort | Fare: LKR 2100.00 | Status: Pending
[2026-05-15 22:06:37] ID: B905 | Passenger: P100 | Route: Colombo Fort -> Port City | Fare: LKR 540.00 | Status: Pending
[2026-05-15 22:16:50] ID: B906 | Passenger: P100 | Route: Malabe -> Port City | Fare: LKR 2220.00 | Status: Pending
[2026-05-15 22:23:33] ID: B907 | Passenger: P100 | Route: Malabe -> Kadawatha | Fare: LKR 1740.00 | Status: Pending
