[2026-05-09 00:50:46] Driver ID: 33 | Rating: 1.0 stars | Comment: bad one

[2026-05-09 11:02:38] Driver ID: D-097 | Rating: 5.0 stars | Comment: good boy
[2026-05-09 12:49:31] Driver ID: D097 | Rating: 2.0 stars | Comment: bad driver
[2026-05-09 12:55:15] Driver ID: D129 | Rating: 4.0 stars | Comment: No comment
[2026-05-11 00:54:27] Driver ID: D033 | Rating: 5.0 stars | Comment: good driver 
[2026-05-11 00:58:50] Driver ID: D097 | Rating: 5.0 stars | Comment: awesrdfghjghkj
[2026-05-11 01:26:25] Driver ID: D033 | Rating: 4.0 stars | Comment: wedv
[2026-05-12 23:09:03] Driver ID: D097 | Rating: 4.0 stars | Comment: good driver
[2026-05-12 23:14:05] Driver ID: D097 | Rating: 5.0 stars | Comment: answeewd

[2026-05-12 23:31:40] Driver ID: D097 | Rating: 4.0 stars | Comment: 10000wpdwkd
[2026-05-12 23:47:48] Driver ID: D097 | Rating: 5.0 stars | Comment: goood
[2026-05-13 14:26:41] Driver ID: D033 | Rating: 5.0 stars | Comment: good
[2026-05-13 20:11:34] Driver ID: D001 | Rating: 5.0 stars | Comment: yoo good 
[2026-05-13 20:20:02] Driver ID: D001 | Rating: 3.0 stars | Comment: not good
[2026-05-13 22:53:38] Driver ID: D034 | Rating: 4.0 stars | Comment: good
[2026-05-13 23:01:12] Driver ID: D035 | Rating: 3.0 stars | Comment: BAD
[2026-05-15 21:31:35] Driver ID: D067 | Rating: 4.0 stars | Comment: No comment
[2026-05-15 21:40:26] Driver ID: D067 | Rating: 4.0 stars | Comment: No comment
[2026-05-15 21:58:18] Driver ID: D067 | Rating: 3.0 stars | Comment: No comment
[2026-05-15 22:07:25] Driver ID: D067 | Rating: 4.0 stars | Comment: safe ride and good communication
[2026-05-15 22:17:22] Driver ID: D067 | Rating: 5.0 stars | Comment: very good driving
[2026-05-15 22:24:11] Driver ID: D067 | Rating: 4.0 stars | Comment: good
